c_text,hatespeech
"@Die_Gruenen #BaerbockvsHabeck  Wie kann eine Partei so dumm sein, die UNERTRÄGLICH schrille nervende Stimme von 
@ABaerbock der wohltemperierten sympathischen von Habeck vorzuziehen. Die Baerbock wird beim Wahlvolk so gut ankommen, wie Kommentatorin Claudia Neumann bei den Männerfußballfans.",0
@ChristofStelma1 für ne sekunde aus versehen mit jemand gesprochen der d0n alph0ns0 tweets feiert und sich über blm lustig macht naja,0
"@Joerg_Meuthen OT, oder von mir aus auch RFH.

Ich wünsche mir ein Statement von
Ihnen zu den aktuellen Ereignissen
in Israel. Vielen Dank.",0
"@Asmudeus @KoroBaer @HToenne @MalteKaufmann Manchmal ist mir 10 sek. Googeln und mal eben 2 Screenshots machen angenehmer als Tippen. Mag spleenig sein vOv
Und inhaltlich: Ich bin den Scheiß einfach so leid. Fundierte Recherche liefern zu sollen, während ""die Gegenseite"" jeden Rotz als ""Argument"" nutzt. Ich mag nichmehr.",0
"@ABaerbock Ich bin jetzt schon gespannt wo sie das ganze Geld hernehmen will was sie da so für Klima und Gutmenschentum verteilt...nicht falsch verstehen wenn das geht bin ich der erste der sich über das #Grüne Schlaraffenland für alle freut. 

„Ist das realistisch?“",0
@CowgirlGermany @Karl_Lauterbach 👎🏻,0
@Karl_Lauterbach @LutzvanderHorst @hazelbrugger Auch das kann die Union  zum Beispiel nicht: Politik auch mal mit Humor verbinden. Eigentlich kann die Union gar nichts außer abkassieren oder?,0
@commodus1 @Karl_Lauterbach @Alice_Weidel Immer wieder schön ahnungslose Menschen schwadronieren zu hören!,0
"„Weg des Widerstands“ (10-16 Uhr): Infostände von u.a. AG Antifa @unihh, Barmbeker Ini gegen Rechts, Bergedorfer für Völkerverständigung e.V., linksjugend solid Hamburg, @HamburgRi, Volksinitiative für @ZivilerH|afen, @partei_dkp Hamburg und verdi AK Frieden.",0
"Grüne Schizophrenie. Sie wollen keine Waffen nach Israel liefern. Begründung: Keine Waffenlieferung in Krisengebiete. Gestern: Wir müssen Waffen in die Ukraine liefern. Weil das … nun ja.

https://t.co/qep34AADAe",0
AfD geht mit Duo Weidel und Chrupalla in den Bundestagswahlkampf https://t.co/t0XepLTK6w,0
@Karl_Lauterbach KANN EINER BITTE BITTE DIESEN MANN ENDLICH STOPPEN! IRGENDJEMAND MUSS ES MACHEN!,0
"@greenpeace_de Das Greenpeace sich nicht schämt!
Da hatten bestimmt einige Zuschauer und Spieler Angst.
Hattet Ihr wohl schon vergessen:
Fussballspiel in Paris (auch Deutschland:Frankreich) inkl. Kalashnikov, Handgranaten, Sprengstoff (tatp) Westen, zeitgleich mit dem Anschlag Bataclan.",0
"@polenz_r @CDU ""Die eigenen Parteifreund:innen sollen [...] überzeugt werden.""
Vier Erfolg damit - ehrlich gemeint.
Die Überzeugung gelingt aber leider am besten über Angstargumente die Wahl zu verlieren.
Für Sachargumente ist die CDU leider taub.
Siehe Merz bei Lanz. Und Merz ist team Laschet.",0
"@JulesRade @PaulaSchulz19 @ntvde Selbst die andere Gästen mussten Laschet zustimmen, denn es geht letztendlich auch darum. dass wir alle noch Lohn und Brot haben. Dafür hatte Frau Neubauer nur ein Kopfschütteln übrig.",0
"Echt jetzt Paul? 
Statt DE DE über alles gibt's  wichtigeres!
Der Wert eines Menschen sollte an erster Stelle stehen nicht das was die @CDU daraus gemacht hat. Lobbyieren  Lügen, Betrügen u. das eigene Portemonnaie füllen steht für euch an erster Stelle! #NieMehrCDUCSU https://t.co/7bIBTotGKh",1
"Stell dir vor „Nazi“ ist über Jahrzehnte ein Schimpfwort, wie zum Beispiel Hurensohn und plötzlich gibt es einige, die sogar stolz drauf sind, so genannt zu werden. Dann werden es immer mehr und du willst auch ein Hurensohn , ... Sorry, ... ich meinte Nazi sein 1/",0
"@Karl_Lauterbach Grosse Welle?

Wie geht es ihrem Auge? 👀 https://t.co/ElgPRy19e9",0
"@Xrxtn @Thetruewitch @Alice_Weidel @UweJunge Also auch ich als Heterosexueller Mann fühle mich nicht diskriminiert 
Keine Ahnung wie Sie auf so was kommen 
Ganz im Gegenteil ich finde es toll das Manuel Neuer für Diversität und gleichgeschlechtliche Liebe einsteht 🥳🥳",0
"@Nora_Helene1 @reitschuster ""Giftspritze"" disqualifiziert Sie schon ohne dass man weiterlesen muß 😉
#Schwurbler #Leerdenker",0
"@Kalle3D @UGrabowy @Lugverbotszone @jens_140081 @ViolaPriesemann Hm, ich glaube echt alles was du anderen vorwirftst, ist geeignet um vor deiner eigenen Tür zu kehren ❤️ soviel Aggression ohne Grundlage und ohne Sinn, ne Menge Energie die du ins falsche Rohr schießt. Du kannst weiter rumjammern, das es Querdenker gibt, mich stören die nicht.",0
@Karl_Lauterbach Und dabei ist eine nährstoffreiche vegane Ernährung echt kein Hexenwerk und sowohl lecker als auch gesund 🙏🏻 weiß echt nicht wie man das im Jahr 2021 immer noch nicht gecheckt und seine Ernährung umgestellt haben kann 🤷🏼‍♀️,0
@ben_brechtken @SerapGueler Maaßen ist vor allem eines: inkompetent.,0
Unertls CSU Vogelscheuche und die Grüne Annalena Baerbock https://t.co/18Xx3EKLVW,0
"#Impfneid, als ob..  
wieder so ein völlig schwachsinniger Framing-Begriff",0
"@Nora_Helene1 @reitschuster Übrigens wenn Sie Teil einer Studie werden, müssen Sie dafür einwilligen!",0
"@Velofisch @JanAlbrecht Wenn ich Medien und ""gleichgeschaltet"" im Zusammenhang mit unserem Land lese, bekomme ich immer das würgen.
Dieses Framing dient doch nur der Unterdrückung von Diskussionen durch rechte. Das Schauspieler so etwas mitmachen ist einfach nur zum 🤮🤮🤮",0
"@digging_trigger @PDominke @reitschuster Der Westen wird grüner?? Arabischer vielleicht, aber doch nicht grüner 😂",0
"@NinaHallmann @Kutchulu Uns geht es sehr gut, verglichen mit anderen Orten auf der Erde! Die Pandemie wird vorbei gehen und alles wird sich wieder normalisieren. Ich hoffe, dass sich dann so mancher Querdenker vor seinen Kindern und Enkeln schämen wird, wenn sie über dieses Kapitel der Geschichte reden!",0
@Karl_Lauterbach Ich warte weiter auf Ihr Statement zum 1.Mai und zur Entschuldigung bezüglich Ihrer Lüge zum Durchschnittsalter der ITS-Patienten,0
"@LillyBlaudszun @janboehm come to rhineland palatinate, the land where milk and honey flows and a wisdom queen rules (ich schreib das auf Englisch weil RLP auf Englisch so ulkig klingt) https://t.co/Y39UTFXuuz",0
@joehannes11 @Hans456789 @Karl_Lauterbach Witzig auch weil du der Meinung bist das es keinen Aufschrei in Dt. Geben würde wenn die Impfung so schlimm wäre...,0
"@MichaelDhr1 @kristen_peter @Xrxtn @Alice_Weidel @UweJunge Und die Kapitänsbinde, hm?",0
"@thorstenknott @gabonn Man muss nur an den Unsinn glauben den man schreibt, oder? Wir wären viel weiter, fast frei,  hätten wir den totalen Lockdown, auch tagsüber, schon vor einem Jahr durchgeführt wie von seriösen Virologen empfohlen.",0
"@Tagesspiegel Es wird Zeit, dass Angela Merkel für Jens Spahn ihr vollstes Vertrauen ausspricht.",0
"@reitschuster Ich finde Deine Berichterstattung sehr viel verstörender..Aber anscheinend bekommst du das Geld von der Afd immer in der Dumm Skala! Von 10,  könnte auch aus der Bild sein( wenig Geld) bis 1,ist so dämlich das es auch Afd Wähler verstehen ( viel Geld). Ist ja alles dabei. https://t.co/341E8n4Cta",1
@Milchzahn90 Das hat Karlsruhe denen erzählt https://t.co/UO3TCbUCPl,0
"@greenpeace_de Was es trotzdem JETZT braucht
- Kohleausstieg 2025
- massiver Ausbau Erneuerbare
- weniger Fleisch (CO2, Methan,
  Tierschutz etc.)
- Agrarwende
- Energiedämmung🏠
- höherer Spritpreis
- keine Straßenpanzer
- Kerosinsteuer
- weniger Inlandsflüge
- Bahnausbau
- ÖPNV: Ausbau &amp; frei",0
"@gutzeit_eims @DieLinke_HH ach Ihr seid Antifa, die schwarz Vermummten die in der Stadt randalieren, Autos anzünden, Scheiben einschmeißen, alle möglichen Wände voll schmieren? Danke für die Info.
Wenn Sie jetzt bitte noch mitteilen könnten wer der Kopf der Zerstörungsbande ist?",1
"@Luisamneubauer @geirrchris Auch wenn 782x Kommentare zu viel für 1x #AnneWill: Fokus auf Maßnahmen!
☀️ Energiewende: EEG + CO2-Preis
🚗 Verkehr: Verbrenner-Aus + Autobahn-Moratorium
🌱 Renaturierung: Schutz alter Wald + Moore vernässen
Und btw, gibt zur Klimakrise auch noch #Artenkollaps 🐝",0
"@greenpeace_de Ständig werden die unzähligen toten, vertriebenen oder um ihre Lebensgrundlage beraubten Menschen ignoriert, denen die Klimakatastrophe keine Zukunft lässt. Die Hasswelle gegen eure kritikwürdige, aber mutige Aktion ist reine Heuchelei! Heute habt ihr unsere Solidarität.",0
@janboehm Der Holocaust hat nicht in islamischen Ländern stattgefunden,0
"Tiefer Respekt vor @AfDVerdachtfall - sich ständig diesen Müll von den Kaufmanns, Brandners und Co. der #fckafd    reinzuziehen, um diese zu entlarven. Da braucht es doch K.tztüten ohne Ende #noafd",0
@ABaerbock Für Großunternehmen kein Thema. Kleine Familienunternehmen sind aufgrund der drückenden Steuerlast dann gezwungen Mitarbeiter zu entlassen oder alternativ in den Konkurs zu gehen.,0
@Crosshead16 @Heinzjean @SteffenSchlager @Karl_Lauterbach Covid-Tote = Verstorben nach einem positiven PCR-Test mit Ct&lt;50 - unabhängig von der Todesursache?,0
"@geierwalley @ErwinSchmidbau4 @janboehm es gibt einen Grund für Flugverbotszonen, Fußballstadien sind solche
Das Verletzen einer Flugverbotszone ist eine schwerwiegende Straftat",0
@Melolontha12 @EschViola @FreiFrank3 @herr_sin @Karl_Lauterbach @Alice_Weidel Mehr Bürgerbeteiligung bei politischen Entscheidungen kommt dann.,0
"@peteraffel @Der_Dutschi Ich bleibe skeptisch.. die schreien jetzt schon nach Lockerung..  kaum war man im lockdown.. sie kapieren es halt nicht..  Jojo-Effekt seit Herbst.. 🤷🏻‍♂️
Hab ne bar, mach bisschen im Sommer außen, aber ab Herbst rechne mit erneuter Schließung 🤷🏻‍♂️",0
"@waldorf_charles Verzweifelter Kampf gegen die Maßnahmen das Virus einzudämmen, unter Missachtung aller Warnungen von Wissenschaftlern wurde nach drei Jahren beendet. 
Jetzt massiver Lockdown.",0
"In jedem Handbuch für Pandemie Bekämpfung kann man nachlesen, dass man einen Polizeistaat errichten muss, um der Bedrohung Herr zu werden! Versteht ihr denn einfach nicht, dass es nur zu eurem Besten ist, wenn man euch den Schädel einschlagen möchte? 

#COVID19",1
"@THiSiZGi0 @Elyas_MBarek Abgehalfterte Schauspieler. Es gibt deutlich größere und bekanntere Schauspieler, die für so ein scheiß sich nicht hingegeben haben. Egal ob es Satire sein soll oder nicht, ist die Außendarstellung einfach totaler Müll gewesen und Querdenken und AFD feiern das ab. GG",0
"@__Gepetto__ @jjhavemann Ach echt soll ich oder sollen Sie?
Ihr sollt uns gar nicht über Geschichte unterrichten, ihr seid die Ursache für diesen Holocaust, wieso soll die Palästinenser dafür bezahlen?
Wenn Sie darüber reden, dass die Juden sind die Hauptbewohner,  das stimmt nicht, steht auch in Torah.",1
"@georgrestle Diese Leerdenker-Wohlstandverwahrlosten-Promis hätten auch ne Kampagne für 

- sichere Bildungseinrichtungen
- effiziente Pandemiebekämpfung
- Solidarität mit Indien 
machen können...

Was machen Sie?
Suchen sich Groupies bei Leerdenkern &amp; Rechten.
Super, klasse gemacht. Nicht.",0
"@MatthiasMeisner @ImreGrimm Er doch bestimmt rechts, oder?! Bitte sagen Sie es doch um Himmels Willen! Er muss es doch sein. Sagen sie es doch bitte. Sie wollen es doch auch. Sie haben doch die Beweise, Sie schreiben es doch. Er muss rechts sein! SAGEN SIE ES BITTE! #allesdichtmachen #niewiederaufmachen",0
"@CSU @Markus_Soeder Fickt euch und eure Drecks nazi Bullen.

https://t.co/w3j6lZGq5U",1
@MelBurn02025218 @veritas60756463 @Karl_Lauterbach Und noch etwas. Es gibt Medikamente die scheinbar recht gut wirken. Dreimal darfst du raten warum die in Deutschland noch nicht eingesetzt werden. Da kanns gar nicht lange genug gehen mit der Zulassung. Aber bei Impfstoffen reicht eine Notfallzulassung.,0
@NormalP36820428 @Friedelkorn @erik_fluegge @annewill ... unbeabsichtigte Falschanwendung fällt eventuell erst viel zu spät oder nie auf.,0
"@neulandrebellen #GRUENEN NO‼️
#Baerbock fordert 😂 man muss nun kein botanischen Wissen haben aber eine ,,PiSSnelke"" erkennt jeder
Solches heuchlerisches Gesindel #Gruene &amp; vorne Klimaschutz 😂und hinterrücks zünden die 💥#Kriegstreiber
Apropo wieviel #Gruene besitzen eigentlich Villa #Berlin 😎",1
"@reitschuster Boris, erwachsene Kinder können tun und lassen was sie wollen. Eltern sind dafür nicht verantwortlich zu machen, sonst sind wir wieder bei Sippehaft. Söder bietet weiß Gott genug Angriffsfläche, da muss man nicht auf Kinder verweisen.",0
"@Andreas22181762 @Genossin_Anetta Ach ja, der Andreas mit der großen Nummer dahinter....
Wunschdenken?",0
"@dimetra_ecrit Ist Neubauer aus dem Alter für FFF? Wenn ihr so viel an Klima liege, sollte sie Every Day for Future ins Leben rufen und aufhören nur sinnlos zu  labern.",0
@GeorgineKellerm Wenn der merkt das man auch in der Türkei aufwacht und in nem Lockdown ist hat der schnell ein anderes Thema und jedem der jetzt noch nicht gemerkt hat das der Typ ein Spinner ist dem ist eh nicht mehr zu helfen.,0
"@ichverstehdasa1 @SteffenSchlager @Karl_Lauterbach Ich glaube nicht, dass meine Tochter das so sieht. 😉",0
@Hoellenaufsicht @Alice_Weidel @UweJunge Was schreibt sie? Sie hat mich leider gesperrt. Übrigens für freundliche Nachfragen.,0
@berlinerzeitung Auch hier ist klar das sich der Faden bis zu Merkel ins Kanzleramt spannt....,0
"@CBreu_AfD Die AfD ist eine faschistische Terrororganisation

Halt die Fresse Nazi",1
"@_FriedrichMerz @HGMaassen ist ein Treiber. Die CDU ist überraschend sprachlos. Und einige Möchtegerndenker wollen sogar Staatssekretärinnen den Mund verbieten. #Lesetipp für Sie und Ihr Team: ""Was vorher unsagbar war, bekommt immer mehr Zulauf"" https://t.co/uOwMEp8mTM",1
"@ThomasNowakEU @GD_Haffenloher @k_stukenberg @fff_muc @Luisamneubauer @sarfeld Häh? Wie könnte jemand ""Kanzlermaterial"" sein wenn er seit Jahrzehnten in der Politik sitzt und erst auf Argumente hört, wenn sie ihm bei Anne Will an den Kopf geschmissen werden?
Dieser Mann hat eigenhändig seit Jahren (!) Klimapolitik versagt. Mit Anlauf. Trotz aller Argumente.",0
"@reitschuster Ich würde gerne wissen, unter welchen Bedingungen man als Rentner in Russland Einwanderung kann. (Ernstgemeint!) Das ist bei mir in 10 Jahren soweit. Vielleicht fallen Ihnen ein paar Broschüren in die Hand.",0
"#Laschet als #Kanzlerkandidat mit einem starken Votum der #CDU ist der Widerspruch schlechthin!
Er ist 2. Wahl, #Baerbock Ist 2. Wahl und Scholz der Kandidat der 2. Wahl Partei #SPD !
Der Rest ist entweder braun #AfD , rote Socke oder hat sich schon mal verpisst #FDP !
🤪
#KFrage",0
@danny_wilmore @HWForster1 🤡,0
"@SZ Meine Hoffnung ist dass Herr laschet gewinnt und Söder verliert,dieser Mann taugt zu nichts, Söder ist ein übler Blender,wer ihn wählt ,wählt  einen looser.",0
diese #Bundesnotbremse erscheint mir eher wie ein Brandbeschleuniger… #IrrungenUndWirrungen,0
"@reitschuster Ich habe auch schon über Auswanderung nachgedacht. Aber wo ist es wirklich besser als hier. Was nützt schöneres Wetter, geringere Abgaben und Kosten, wenn z.B. das Gesundheitssystem nichts taugt. 
Zur Zeit habe ich das Idealziel noch nicht gefunden.",0
"@helgelindh AfD Scheiße, CDU Scheiße, FDP Scheiße.... Nicht wahr? Es lebe der neue Sozialismus! 🙄🤮
https://t.co/zqT69knbPS",0
Heute ist ein Tag um unsere #Solidarität mit #Israel 🇮🇱auszudrücken. Lasst euch nicht mehr alles gefallen von den Terroristen der #Hamas und ich hoffe es lässt sich niemand von der Armada an Lügentrollen auf Twitter beeinflussen die die Angreifer als Opfer darstellen.,0
@AndreasKlitzsch @welt Ähm...ja... https://t.co/SRQJ3LUg2h,0
"@DrStrompen @ZentralratJuden Solange Antisemitismus in den Bundesministerien praktiziert wird, wie z. B. im Bundesministerium für Bildung und Forschung, ändert sich in 🇩🇪 nichts!",0
@ABaerbock Das nennt man Planwirtschaft.,0
"@sunstar1606 @melusia @TigerTi34013939 @reitschuster Und weil es so schön war, noch ein paar just for you 😘 https://t.co/WgP3oiTpdm",0
"@sascha_m_k @Umwelthilfe Armin ""Parselmouth"" Laschet. Kohleausstieg 2038, klimaneutral 2040. Und wer den Raum verläßt, der knipst das Klima aus. Mann, Mann, Mann.",0
"@SteffenSchlager @Karl_Lauterbach Ganz genau, sie sagen es der Mensch ist einfach ein Neurotiker es geht nur um sein gestörtes Ego.",0
"@drpeternagel #FridaysForFuture @Luisamneubauer : wie wäre es denn mit einem #thursdayforhealth? Oder auch Monday, Tuesday,...
Ihr habt ja schon gezeigt, dass Ihr was bewirken könnt. Macht darauf aufmerksam, dass Ihr nicht durchseucht werden wollt 👊",0
"Das ist Ann-Kathrin. Sie ist bei den Grünen, dumm wie Scheiße und natürlich links-extrem.
Ann-Kathrin will mal so werden wie All Cops Are Baerbock. https://t.co/ocJXxaZdv9",1
"@SWagenknecht Das Pflegepersonal kriecht auf dem Zahnfleisch und du feierst so eine unsolidarische Scheiße von gut betuchten Schauspieler*innen, während Du der PdL vorwirfst nichts mehr mit der arbeitenden Bevölkerung zu tun zu haben...?",0
"Der Hassprediger #Spangenberg von der #AfD hat kein Problem damit eiskalt den #DiviGate weiter voran zu treiben; #FakeNews gehören ja zum Tagesgeschäft der rechtsextremen ""Volkspartei""! 🤮

#FCKAfD #NoAfD #FCKNZS #NoNAZIS #NoH8 #AfDVerbotJETZT #BTW #BTW21 #Corona #COVID19 #Divi https://t.co/1NIJNqw69R",1
"#b0105 Der #Linksterrorismus zeigt seine hässliche Fratze. 
Und die ganzen #Wohlstandslinken wie #FFF, #BLM ""Aktivisten u.a. sind auf dem Weg es ihnen gleich zu tun!
Diesen Abschaum gilt es zu bekämpfen.",1
"@EgonMuller123 @BerlinerNotizen @christianbangel Ja... 
leider hat sich dieses ausgrenzende Denken in großen Teilen der Gesellschaft erhalten - gilt leider für alle Parteien, aber speziell für die #noafd  und die #WerteUnion .
Die 68er Revolte im Denken muss permanent weiter geführt werden.",0
"…Politiker, Journalisten und Akteure der Zivilgesellschaft verharmlosen linke Gewalt und machen sie so salonfähig. Wer Enteignungsdebatten von Wohnungsbesitzern führt, wie SPD, Grüne und Linkspartei, oder wenn Medien wie das ZDF just am Tag der Ausschreitungen über ihren… 2/3",0
"Ok, Danke. Ich kenne jetzt die Impftermine von sämtlichen Omas, Opas, Richter:Innen, Politiker:Innen, Hunden, Katzen, Twitterusern von 19-99 und verspüre immer noch keinen Impfneid, in Monat 14 der Pandemie mit 2 Kids @ Home.  What’s wrong with me? 🙈",0
@besch901 @Porsche Diskrminalisirung Gegen Menschenhändler Ist Ein Muss Deutscher dummshit NaZi bulle,1
"@heilrath @janfleischhauer Impfstoff wegwerfen ist eine Verhöhnung von Ärzten und  Pflegern, die Persiflage von privilegierten Lockdown Liebhabern nicht.",0
"@LutzvanderHorst @dd_nazifrei Komisch, keiner, der seine Covid-Erkrankung medial in Szene setzt, hat eine Ahnung, wo er sich angesteckt haben könnte. Ehrlich? ICH habe keine Ahnung, ob ich das glauben sollte &amp; ob nicht die fidelen Clips eher untermauern, dass die meisten Verläufe leicht sind. Gute Besserung.",0
"@Gooney75 @moerv_vom_doerf @JohannesNormann @SerapGueler Das Problem darin, dass heutzutage soviel direkt als Nazi betitelt wird liegt darin, dass Personen wie Sie und ihre widerliche antidemokratische Nazi Partei dann tatsächlich glauben ein Argument gegen die Anschuldigungen zu haben.",1
"2/2

untersucht. Alle wurden nach Long-Covid-Symptomen befragt: Kopfschmerzen, Müdigkeit, Antriebs- und Schlaflosigkeit etc.

Ergebnis: kein signifikanter Unterschied in den Antworten der Schüler, egal ob sie erkrankt waren oder nicht.
https://t.co/sSFZeE686h",0
"@yasminecmbarek @ardenthistorian Wenn man Menschen permanent vorhält das sie ""rechts"", ""rückständig"" oder gar ein ""Nazi"" seien, wenn Ihre Meinung von der Berliner Politik und Medienblase abweicht weil die Menschen eine ganz andere Lebensrealität haben, darf man sich nicht wundern, wenn die irgendwann so wählen.",0
"@Crosshead16 @SteffenSchlager @Karl_Lauterbach Sie tun mir leid. Ganz offensichtlich sind Sie ein unglücklicher Mensch. Ich wünsche Ihnen alles Gute. Hoffe für Sie, dass Sie den inneren Troll bezwingen können.",0
"@FridayForFuture In Germany we don't say "" Wir brauchen FFF Germany damit sie unser Klima retten!"" We say: ""Dieses arbeitslose faule Gesindel soll erstmal arbeiten gehen, dann dürfens a mitreden!"" And I think that's great!",1
"@Doener @HollsteinM Ich finde es korrekt, dass man sich nicht selbst als Antisemit bezeichnen muss, um durch seine Sprache seinen Antisemitismus auszudrücken. Das sollte uns reichen.
Ein Lügner wird sich selbst auch nicht so nennen, aber durch Lügen entlarvt werden.",0
@Anna48338034 @Steinhoefel 🤦‍♀️,0
"@reitschuster Der totale Wahnsinn , man denke nur an die zig Hunderten toten Ärzte u Pfleger aus den letzten Jahrzehnten, die täglich zig Stunden mit Masken arbeiten....",0
"@evilestmav @Gewaltpeter @davidbest95 @greenpeace_de das problem ist dass die industrielle landwirtschaft als argument für optimierte pflanzen herangezogen wird. dabei ist erstere aber das übel. natürlich gibt es immer mehr mäuler zu stopfen, aber trotz allem ist das ganze zu ""einfach"" zu sagen: gentechnik und alles ist gut!",0
"@frederic2406 @HToenne @haenschen1000 @MalteKaufmann Sowie deine Asi Freunde eins drüber ? Man kann alles nachlesen, aber wenn selbst das zu schwer ist. Übrigens ist andere als Nazi zu betiteln ne Straftat das geht jetzt auch raus !",0
@ABaerbock Unsere Bundeskanzlerin💚🌻💪✌️,0
"@georgrestle Es gab Zeiten, da konnten #Monitor #Journalisten noch souverän mit Kritik umgehen. Beachtliche Dünnhäutigkeit, die wohl ihre Gründe hat.",0
@Laika66753508 @OrPerception @reitschuster Ab jetzt schon...steht im neuen Ermächtigungsgesetz🤣🤣🤣,0
@FX_Tomis @ttopmok @Markus_Soeder Gehts ihnen gut?,0
"@zwischen2dates es ist nicht der Impfneid, es ist einfach die Angst. Mehr isses nicht.Ja, meine Dummheit, aber aber das Menschen wie mein Bruder der beim einrichten eines Testcenters geholfen vorgezogen ist, zeigt die Fehler in diesem System.",0
"@Ich2ES @AfD_Muenster @PeterBorbe @SpoonTabby Habe gerade einen Haufen Leute(?) geblockt, die die Fake-Mitfahrgelegenheit-Aktion ""feiern"". Bin überzeugt, dass ich einen Teil davon vor einigen Tagen schon einmal geblockt hatte - haben manche einen Blockier-Schutz?",0
@Karl_Lauterbach @Sander_Lab Bringt das Impfen überhaupt was? 25 % haben Erstimpfung und Zahlen der Infektionen und Toten bleibt unverändert hoch. Es werden vor allem Risikogruppen geimpft u der Effekt ist gleich Null 😔,0
@DemokratDer @manuelak62 Die Menschheit verblödet!,0
@thalveld @philopolist @Xrxtn @Alice_Weidel @UweJunge Ja. Gegen Diskriminierung.,0
@Siru_Per @polizeiCH Jede Situation wird individuell betrachtet und greifen wo nötig ein. Wir wünschen Ihnen einen schönen und friedlichen 1. Mai. 'sa,0
@schneidercar Hat die #SPD in Thüringen vor nicht allzu langer Zeit nicht ein AfD-Mitglied des Landtages in ihre Fraktion aufgenommen? Einfach mal sacken lassen...,0
"@Joramsim @JohannesNormann @Hasenhoernchen @moerv_vom_doerf @SerapGueler @AfD Noch schlimmer, wenn man mit Halbwissen im Unterricht andere Menschen beeinflusst!",0
"In was für einem Land lebe ich denn? Und wie dumm können Schauspieler sein? Diese sog. Kampagne ""#allesdichtmachen"" ist ja der reinste Horror. Der rechte Bodensatz feiert. Um Himmels willen, seit wann ist braun sein wieder gesellschaftsfähig?",1
"Wie sind wir eigentlich in die Situation gekommen, dass viele junge Menschen öffentlich Urteile über Menschen fällen, ohne dabei Belege liefern zu können. Und wie kommen wir da wieder raus? Ist das #newnormal ? #neubauer #annewill",0
"@ah_tatsaechlich @bekkapelma @robert_fietzke Ja wenn meine Antwort auf alles ist, das die bösen Eliten uns alle umbringen wollen ist, dann ist man im Land der Verschwörungsmythikern gelandet.

Sprich, das was an den Querdenker kritisiert wird.",0
"An alle Impf Fanatiker und #ZeroCovid Idioten. Glaubt ihr wirklich, dass man mittelfristig ohne Impfung nicht in den Flieger kann? Seit ihr so dumm? Wenn die USA z.B. öffnet ohne Impfflicht, was denkt ihr wie schnell die Esel in Europa nachziehen?",0
"@iamlillypad @Xrxtn @philopolist @Alice_Weidel @UweJunge Sie leugnet den Klimawandel, protzt damit, sich nicht impfen zu lassen, teilt und liked rechte Beiträge... Was erwarten wir eigentlich von so jemandem?",0
